ItemSku,ItemDocumentValue,generated_captions,,,,,,,,
19283315462,http://static.meijer.com/Media/001/92833/0019283315462_0_A1C1_0600.png,"The image features a small, white candle holder filled with a cupcake and a cupcake. The cupcake is placed in the center of the holder, while the cupcake is positioned towards the right side. The candle holder is placed on a white surface, likely a table or countertop. The cupcake and cupcake holder are the main focus of the image, showcasing a delicious and visually appealing treat.<|im_end|>",,,,,,,4,148
88392962061,http://static.meijer.com/Media/008/83929/0088392962061_0_A1C1_0600.png,"The image features a boxed video game called ""The Last of Us"" with a man and a dog sitting on top of it. The man is holding a gun, while the dog is standing next to him. There are two people in the scene, one on the left side of the box and the other on the right side.  In addition to the man and the dog, there are several other objects visible in the scene. A cell phone can be seen on the left side of the box, while a bottle is positioned on the right side. There are also two cups placed near the man and the dog, one",,,,,,,2,80
4549659042,http://static.meijer.com/Media/000/45496/0004549659042_0_A1C1_0600.png,"The image features a boxed game called ""The Last Remnant"" on display. The game is set in a mountainous landscape, with a man standing on top of a rocky hill. He is holding a sword and appears to be ready for battle.  There are several trees scattered throughout the scene, adding to the natural setting of the game. In addition to the main character, there are two other people visible in the background, one on the left side and another on the right side of the box. They appear to be observing the game or preparing for their own adventure.<|im_end|>",,,,,,,2,1.85
63806007772,http://static.meijer.com/Media/006/38060/0063806007772_0_A1C1_0600.png,"The image features a red and black box with the words ""Baby Bottle"" written on it. The box is placed on a white background, and it contains a baby bottle. The bottle is positioned in the center of the box, making it the focal point of the image. There are several other objects in the scene, including a handbag placed to the left of the bottle, a cell phone on the right side of the box, and a pair of shoes near the bottom of the image. These additional items add to the overall visual interest of the scene.<|im_end|>",,,,,,,1,
5389114549,http://static.meijer.com/Media/000/53891/0005389114549_1_A1C1_0600.png,"The image features a white blender with a black lid, placed on a white background. The blender is filled with various fruits, including blueberries, raspberries, and blackberries, which are being blended together in the blender. The blender is positioned in the center of the image, making it the focal point of the scene. There are several fruits scattered around the blender, creating a colorful and appetizing display.<|im_end|>",,,,,,,5,
71981207883,http://static.meijer.com/Media/071/98120/0719812078830_a1c1_0600.png,"The image features a blue plastic container filled with ice cubes. The container is placed on a white background, showcasing the variety of ice cubes inside. There are multiple ice cubes in the container, with some located closer to the top and others near the bottom. The ice cubes are arranged in a neat and organized manner, making it easy to access and use them.<|im_end|>",,,,,,,5,
70882032091,http://static.meijer.com/Media/007/08820/0070882032091_1_A1C1_0600.png,"The image features a brown box with a white label on it. The box contains a small, round object that appears to be a small piece of fabric or a piece of clothing. The box is placed on a white background, providing a clean and minimalist setting for the object inside. The box is positioned in the center of the image, making it the focal point of the scene.<|im_end|>",,,,,,,2,
9657700214,http://static.meijer.com/Media/000/96577/0009657700214_1_A1C1_0600.png,"The image displays a stone wall with three distinct fabrics arranged on it. The first fabric is a blue and black striped fabric, the second is a yellow and black striped fabric, and the third is a blue and black striped fabric. The fabrics are arranged in a row, with the blue and black striped fabric on the left, the yellow and black striped fabric in the middle, and the blue and black striped fabric on the right. The arrangement of the fabrics creates an eye-catching display.<|im_end|>",,,,,,,3,
1117123892,http://static.meijer.com/Media/000/11171/0001117123892_0_A1C1_0600.png,"The image features a green box containing a Broom-A-Matic vacuum cleaner. The box is placed on a white surface, likely a table or countertop. The vacuum cleaner is positioned in the center of the box, making it easily accessible to customers. There are several brooms visible in the box, with some closer to the top and others closer to the bottom. The brooms appear to be of different sizes and styles, adding to the variety of options available for customers.<|im_end|>",,,,,,,1,
7065990674,http://static.meijer.com/Media/000/70659/0007065990674_0_A1C1_0600.png,"The image features a pink and orange toothbrush holder placed on a white background. The holder is positioned in the center of the image, with the toothbrushes arranged in a row along the top of the holder. There are several toothbrushes visible in the holder, with some closer to the top and others closer to the bottom. The toothbrushes appear to be well-maintained and ready for use.<|im_end|>",,,,,,,1,
5150023913,http://static.meijer.com/Media/000/51500/0005150023913_1_A1C1_0600.png,"The image features a can of Blue Bell Creamery's Blueberry Pie Flavored Yogurt, which is placed on a white background. The can is positioned in the center of the image, with a close-up view of its contents. The yogurt appears to be a popular choice among consumers, as it is prominently displayed in the center of the image. There are several other cans of yogurt visible in the background, but they are not as prominent as the main Blue Bell Creamery's Blueberry Pie Flavored Yogurt can.<|im_end|>",,,,,,,2,
7047000596,http://static.meijer.com/Media/007/04700/0070470005966_a1c1_0600.png,"The image features a box of Lucky Charms cereal, which is a popular brand of cereal for children. The box is placed on a white background, showcasing the colorful and playful design of the cereal. The box contains multiple pieces of cereal, with some of them located closer to the top of the box and others near the bottom. There are also several smaller pieces of cereal scattered throughout the box, adding to the overall visual appeal of the product.<|im_end|>",,,,,,,1,
85608200764,http://static.meijer.com/Media/008/56082/0085608200764_1_A1C1_0600.png,"The image features a box of pizza slices, with a large pizza slice in the center of the box. The pizza slice is placed on top of a blue background, and there are several smaller pizza slices scattered around the box. The box is positioned on a table, likely for customers to pick up and enjoy their pizza.<|im_end|>",,,,,,,3,
4223837755,http://static.meijer.com/Media/000/42238/0004223837755_0_A1C1_0600.png,"The image features a pack of Sour Patch Kids candy, which is a popular brand of candy for children. The pack contains 12 pieces of candy, each with a unique design and color. The candy is arranged in a row on a white background, showcasing its vibrant colors and intricate designs. The pack is positioned towards the top of the image, making it easily visible to customers.<|im_end|>",,,,,,,2,
1600016961,http://static.meijer.com/Media/000/16000/0001600016961_0_A1C1_0600.png,"The image displays a box of Cocoa Puffs, a popular cereal brand, with a cartoon character on the front. The character, a cute and playful rabbit, is smiling and holding a bowl of cereal. The cereal is displayed in a bowl, with the bowl centered in the box. The box is red and white, making it stand out.<|im_end|>",,,,,,,3,
1411391007,http://static.meijer.com/Media/000/14113/0001411391007_1_A1C1_0600.png,"The image features a green bag filled with various nuts, including almonds, walnuts, and pecans. The bag is placed on a white background, showcasing the variety of nuts inside. There are multiple nuts scattered throughout the bag, with some closer to the top and others closer to the bottom. The nuts appear to be in various stages of ripeness, with some still green and others becoming more mature. The bag contains a mix of different types of nuts, making it a versatile and appealing snack option.<|im_end|>",,,,,,,2,
85192100671,http://static.meijer.com/Media/008/51921/0085192100671_1_A1C1_0600.png,"The image features a package of chocolate-covered almonds, which are displayed on a white background. The package contains multiple bags of almonds, each containing a single almond. The bags are arranged in a neat and organized manner, making it easy for customers to select their desired amount of almonds. The package is positioned towards the right side of the image, taking up a significant portion of the space.<|im_end|>",,,,,,,1,
85777700421,http://static.meijer.com/Media/008/57777/0085777700421_1_A1C1_0600.png,"The image features a white box containing a bag of organic coffee beans. The bag is placed on a white background, showcasing the product's packaging. The coffee beans are prominently displayed in the center of the box, with several bags of coffee beans surrounding them. There are multiple bags of coffee beans visible in the image, with some closer to the top and others closer to the bottom of the box. The overall design of the box and the coffee beans create a visually appealing and inviting display for customers.<|im_end|>",,,,,,,1,
85803400616,http://static.meijer.com/Media/008/58034/0085803400616_0_A1C1_0600.png,"The image features a jar of chili con carne, a popular Mexican dish, placed on a white background. The jar contains a generous amount of chili con carne, making it an ideal choice for those who enjoy this spicy and flavorful dish. The jar is positioned in the center of the image, taking up a significant portion of the space.<|im_end|>",,,,,,,2,
