ItemSku,ItemDocumentValue,generated_captions,,,,,,,,
19283315462,http://static.meijer.com/Media/001/92833/0019283315462_0_A1C1_0600.png,a candle that is shaped like a chocolate,,,,,,,2,1.6
88392962061,http://static.meijer.com/Media/008/83929/0088392962061_0_A1C1_0600.png,a dog on a dvd,,,,,,,1,
4549659042,http://static.meijer.com/Media/000/45496/0004549659042_0_A1C1_0600.png,video game series is a game that's ready for action.,,,,,,,1,
63806007772,http://static.meijer.com/Media/006/38060/0063806007772_0_A1C1_0600.png,the product of the product,,,,,,,1,
5389114549,http://static.meijer.com/Media/000/53891/0005389114549_1_A1C1_0600.png,this blender is made of glass and has a glass top.,,,,,,,2,
5150023913,http://static.meijer.com/Media/000/51500/0005150023913_1_A1C1_0600.png,"food is a popular brand, but it's not just the right amount of flavor.",,,,,,,1,
7047000596,http://static.meijer.com/Media/007/04700/0070470005966_a1c1_0600.png,"a box of brand, a brand of pure, pure, pure, and pure, is available.",,,,,,,1,
85608200764,http://static.meijer.com/Media/008/56082/0085608200764_1_A1C1_0600.png,the food is a popular food market.,,,,,,,1,
4223837755,http://static.meijer.com/Media/000/42238/0004223837755_0_A1C1_0600.png,the most popular candy in the world,,,,,,,1,
1600016961,http://static.meijer.com/Media/000/16000/0001600016961_0_A1C1_0600.png,the most popular cereals in the world,,,,,,,2,
75450204152,http://static.meijer.com/Media/007/54502/0075450204152_0_A1C1_0600.png,the pros and cons of the pros,,,,,,,1,
7124965013,http://static.meijer.com/Media/000/71249/0007124965013_0_A1C1_0600.png,the best lipsticks for women,,,,,,,2,
30997014304,http://static.meijer.com/Media/003/09970/0030997014304_0_A1C1_0600.png,the best beauty products for women,,,,,,,2,
81851201246,http://static.meijer.com/Media/008/18512/0081851201246_2_A1C1_0600.png,"a bottle of brand, a fruit juice that is made with ingredients.",,,,,,,1,
7124962769,http://static.meijer.com/Media/000/71249/0007124962769_0_A1C1_0600.png,the best mascara for women,,,,,,,1,
1958571375,http://static.meijer.com/Media/000/19585/0001958571375_0_A1C1_0600.png,model in a white tank top,,,,,,,2,
4393574181,http://static.meijer.com/Media/000/43935/0004393574181_1_A1C1_0600.png,diaper bag for all babies,,,,,,,2,
71373334728,http://static.meijer.com/Media/071/37333/0713733347280_a1c1_0600.png,coffee beans on a white background,,,,,,,3,
70882063926,http://static.meijer.com/Media/007/08820/0070882063926_0_A1C1_0600.png,the first item in the package is made of black leather.,,,,,,,1,
61087001086,http://static.meijer.com/Media/006/10870/0061087001086_1_A1C1_0600.png,pendant in sterling silver with a diamond,,,,,,,2,
71928317783,http://static.meijer.com/Media/007/19283/0071928317783_1_A1C1_0600.png,a round plate with a blue background,,,,,,,2,
4316846661,http://static.meijer.com/Media/000/43168/0004316846661_0_A1C1_0600.png,light bulbs for the light,,,,,,,3,
70777319390,http://static.meijer.com/Media/007/07773/0070777319390_1_A1C1_0600.png,box of the product isolated on a white background,,,,,,,1,
2310011785,http://static.meijer.com/Media/000/23100/0002310011785_1_A1C1_0600.png,food for the family to eat,,,,,,,1,
71928320451,http://static.meijer.com/Media/007/19283/0071928320451_2_A1C1_0600.png,the package is a product that is the most important product in the world.,,,,,,,1,
7432912339,http://static.meijer.com/Media/000/74329/0007432912339_0_A1C1_0600.png,food is a healthy snack for you.,,,,,,,1,
2200002036,http://static.meijer.com/Media/000/22000/0002200002036_0_A1C1_0600.png,pack of extra extra extra extra extra extra extra extra extra extra extra extra extra flavor.,,,,,,,1,
7922305610,http://static.meijer.com/Media/000/79223/0007922305610_0_A1C1_0600.png,a red water bottle with a black handle,,,,,,,2,
4000000105,http://static.meijer.com/Media/000/40000/0004000000105_3_A1C1_0600.png,candy bar - - a treat for a party,,,,,,,2,
4.89407E+11,http://static.meijer.com/Media/048/94067/0489406732033_1_A1C1_0600.png,a cable for the cable,,,,,,,2,
64336211012,http://static.meijer.com/Media/006/43362/0064336211012_0_A1C1_0600.png,mushrooms are a popular source of edible edible plants.,,,,,,,3,
5450010174,http://static.meijer.com/Media/000/54500/0005450010174_2_A1C1_0600.png,a pack of hot dogs,,,,,,,3,
5783602261,http://static.meijer.com/Media/000/57836/0005783602261_1_A1C1_0600.png,a box of cherry tomatoes,,,,,,,3,
3740702107,http://static.meijer.com/Media/000/37407/0003740702107_0_A1C1_0600.png,food is a healthy alternative to the food you need.,,,,,,,2,
70882026467,http://static.meijer.com/Media/007/08820/0070882026467_3_A1C1_0600.png,this is the recipe for meatballs.,,,,,,,2,
38290844003,http://static.meijer.com/Media/003/82908/0038290844003_0600.png,the product is available in a variety of sizes.,,,,,,,1,
71373330351,http://static.meijer.com/Media/071/37333/0713733303514_a1c1_0600.png,the best product for skin care,,,,,,,1,
4116743106,http://static.meijer.com/Media/000/41167/0004116743106_0600.png,a box of tissues for disease,,,,,,,1,
76023619748,http://static.meijer.com/Media/076/02361/0760236197485_a1r1_0600.png,the new product is available in a variety of products.,,,,,,,1,
71928319407,http://static.meijer.com/Media/007/19283/0071928319407_0600.png,the label is a small box with a small amount of information about the product.,,,,,,,1,
