ItemSku,ItemDocumentValue,generated_captions,,,,,,,,
19283315462,http://static.meijer.com/Media/001/92833/0019283315462_0_A1C1_0600.png,of the yankee candle vanilla cupcake candle,,,,,,,5,3.1
88392962061,http://static.meijer.com/Media/008/83929/0088392962061_0_A1C1_0600.png,of game night,,,,,,,2,
4549659042,http://static.meijer.com/Media/000/45496/0004549659042_0_A1C1_0600.png,of the legend of zelda breath of the wild,,,,,,,3,
63806007772,http://static.meijer.com/Media/006/38060/0063806007772_0_A1C1_0600.png,of the scotch super hold tape,,,,,,,4,
5389114549,http://static.meijer.com/Media/000/53891/0005389114549_1_A1C1_0600.png,of the oster osmo pro blender,,,,,,,4,
5150023913,http://static.meijer.com/Media/000/51500/0005150023913_1_A1C1_0600.png,of crisco all vegetable pie filling,,,,,,,1,
7047000596,http://static.meijer.com/Media/007/04700/0070470005966_a1c1_0600.png,of the go - surf cereal,,,,,,,1,
85608200764,http://static.meijer.com/Media/008/56082/0085608200764_1_A1C1_0600.png,of the cauliflower pizza crust,,,,,,,4,
4223837755,http://static.meijer.com/Media/000/42238/0004223837755_0_A1C1_0600.png,of haribo twin snakes,,,,,,,4,
1600016961,http://static.meijer.com/Media/000/16000/0001600016961_0_A1C1_0600.png,of trix cereal,,,,,,,4,
75450204152,http://static.meijer.com/Media/007/54502/0075450204152_0_A1C1_0600.png,of the elite knee brace,,,,,,,3,
7124965013,http://static.meijer.com/Media/000/71249/0007124965013_0_A1C1_0600.png,for lorel paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris paris par,,,,,,,1,
30997014304,http://static.meijer.com/Media/003/09970/0030997014304_0_A1C1_0600.png,for the all - in - one mascara,,,,,,,1,
81851201246,http://static.meijer.com/Media/008/18512/0081851201246_2_A1C1_0600.png,of sprout organic peach oatmeal,,,,,,,2,
7124962769,http://static.meijer.com/Media/000/71249/0007124962769_0_A1C1_0600.png,for loreal pro brows - dark brown,,,,,,,2,
1958571375,http://static.meijer.com/Media/000/19585/0001958571375_0_A1C1_0600.png,of the women's seamless bra,,,,,,,4,
4393574181,http://static.meijer.com/Media/000/43935/0004393574181_1_A1C1_0600.png,of hanes 5 camis,,,,,,,4,
71373334728,http://static.meijer.com/Media/071/37333/0713733347280_a1c1_0600.png,of ground coffee,,,,,,,3,
70882063926,http://static.meijer.com/Media/007/08820/0070882063926_0_A1C1_0600.png,of the adidas no show socks,,,,,,,2,
61087001086,http://static.meijer.com/Media/006/10870/0061087001086_1_A1C1_0600.png,of the swarovski crystal pendant necklace,,,,,,,3,
71928317783,http://static.meijer.com/Media/007/19283/0071928317783_1_A1C1_0600.png,of the paper plates,,,,,,,3,
4316846661,http://static.meijer.com/Media/000/43168/0004316846661_0_A1C1_0600.png,of the ge light bulb,,,,,,,3,
70777319390,http://static.meijer.com/Media/007/07773/0070777319390_1_A1C1_0600.png,of acdelco professional oil filter,,,,,,,4,
2310011785,http://static.meijer.com/Media/000/23100/0002310011785_1_A1C1_0600.png,of sheba meaty tuna flavor sticks,,,,,,,4,
71928320451,http://static.meijer.com/Media/007/19283/0071928320451_2_A1C1_0600.png,of the ultra soft toilet paper,,,,,,,3,
7432912339,http://static.meijer.com/Media/000/74329/0007432912339_0_A1C1_0600.png,of the oh snap pickling cucumber bites,,,,,,,4,
2200002036,http://static.meijer.com/Media/000/22000/0002200002036_0_A1C1_0600.png,of extra long lasting flavor peppermint,,,,,,,3,
7922305610,http://static.meijer.com/Media/000/79223/0007922305610_0_A1C1_0600.png,of the gator fuel jerry can,,,,,,,3,
4000000105,http://static.meijer.com/Media/000/40000/0004000000105_3_A1C1_0600.png,of snickers almond bar,,,,,,,4,
4.89407E+11,http://static.meijer.com/Media/048/94067/0489406732033_1_A1C1_0600.png,of the car battery jumper cables,,,,,,,4,
64336211012,http://static.meijer.com/Media/006/43362/0064336211012_0_A1C1_0600.png,of hen and mushroom woods,,,,,,,4,
5450010174,http://static.meijer.com/Media/000/54500/0005450010174_2_A1C1_0600.png,of the angus beef hot dog,,,,,,,3,
5783602261,http://static.meijer.com/Media/000/57836/0005783602261_1_A1C1_0600.png,of honey bombs,,,,,,,3,
3740702107,http://static.meijer.com/Media/000/37407/0003740702107_0_A1C1_0600.png,of multi seed bread,,,,,,,4,
70882026467,http://static.meijer.com/Media/007/08820/0070882026467_3_A1C1_0600.png,of the spaghetti and meatballs,,,,,,,3,
38290844003,http://static.meijer.com/Media/003/82908/0038290844003_0600.png,of bd ultra fine ii,,,,,,,1,
71373330351,http://static.meijer.com/Media/071/37333/0713733303514_a1c1_0600.png,of the moisturizing lotion,,,,,,,3,
4116743106,http://static.meijer.com/Media/000/41167/0004116743106_0600.png,of allegra d allergy & congestion tablets,,,,,,,4,
76023619748,http://static.meijer.com/Media/076/02361/0760236197485_a1r1_0600.png,of meijer women's century multivitamin supplement,,,,,,,4,
71928319407,http://static.meijer.com/Media/007/19283/0071928319407_0600.png,of the 12 hour allergy - d tablets,,,,,,,3,
