ItemSku,ItemDocumentValue,ConditionalCaption,UnconditionalCaption,,,,,,,
19283315462,http://static.meijer.com/Media/001/92833/0019283315462_0_A1C1_0600.png,image captioning :iane yankee candle,yankee candle - vanilla,,,,,,4,
88392962061,http://static.meijer.com/Media/008/83929/0088392962061_0_A1C1_0600.png,image captioning :in game night dvd,a dvd cover with dog and man,,,,,,3,
4549659042,http://static.meijer.com/Media/000/45496/0004549659042_0_A1C1_0600.png,image captioning :in the legend of zeia breathworld,the legend of zeia breath wild,,,,,,2,2.5625
63806007772,http://static.meijer.com/Media/006/38060/0063806007772_0_A1C1_0600.png,image captioning :in scotchin scotch tape,scotch super tape 50m,,,,,,3,
5389114549,http://static.meijer.com/Media/000/53891/0005389114549_1_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,a blender with fruit in it,,,,,,4,
71981207883,http://static.meijer.com/Media/071/98120/0719812078830_a1c1_0600.png,image captioning :ion ice tray,a blue ice tray with ices inside,,,,,,2,
70882032091,http://static.meijer.com/Media/007/08820/0070882032091_1_A1C1_0600.png,image captioning :in comion com,the cotton sheet set in tau,,,,,,3,
9657700214,http://static.meijer.com/Media/000/96577/0009657700214_1_A1C1_0600.png,image captioning :ianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,a pair of blue and gold placemats,,,,,,3,
1117123892,http://static.meijer.com/Media/000/11171/0001117123892_0_A1C1_0600.png,image captioning :ian cleaning products,clean disple di,,,,,,2,
7065990674,http://static.meijer.com/Media/000/70659/0007065990674_0_A1C1_0600.png,image captioning :inginginginginginginginginginginginginginginginginginginginginginginginginginginginginging,a pink plastic pen with white tip,,,,,,1,
5150023913,http://static.meijer.com/Media/000/51500/0005150023913_1_A1C1_0600.png,image captioning :incoincoincoincoincoincoincoincoincoincoincoincoincoin,a can of food,,,,,,2,
7047000596,http://static.meijer.com/Media/007/04700/0070470005966_a1c1_0600.png,image captioning : yoi,yoit yo,,,,,,1,
85608200764,http://static.meijer.com/Media/008/56082/0085608200764_1_A1C1_0600.png,image captioning :in cairre cauairre cauair cauare,a box of califi pizza with caulii,,,,,,3,
4223837755,http://static.meijer.com/Media/000/42238/0004223837755_0_A1C1_0600.png,image captioning : haribo ski snicks gummies,"hario skis gummies, by hario, and more",,,,,,4,
1600016961,http://static.meijer.com/Media/000/16000/0001600016961_0_A1C1_0600.png,image captioning : fruityshaps,a box of fruity shapes cereal,,,,,,3,
1411391007,http://static.meijer.com/Media/000/14113/0001411391007_1_A1C1_0600.png,image captioning :infoionist wonderful roasted pis pi,a bag of roasted and salted pis,,,,,,3,
85192100671,http://static.meijer.com/Media/008/51921/0085192100671_1_A1C1_0600.png,image captioning :infoioning saa sa,a bag of red meat with white background,,,,,,1,
85777700421,http://static.meijer.com/Media/008/57777/0085777700421_1_A1C1_0600.png,image captioning :in chocolate bar,xbar chocolate bar,,,,,,2,
